satname, satId, intl_code, launchDate, period, category
COSMOS 1544, 14819, 1984-027A, March 15 1984, 94.3, BRIGHTEST
COSMOS 1536, 14699, 1984-013A, February 8 1984, 95.7, BRIGHTEST
COSMOS 1500, 14372, 1983-099A, September 28 1983, 94.8, BRIGHTEST
SL-3 R/B, 14208, 1983-075B, July 24 1983, 95.3, BRIGHTEST
SL-3 R/B, 13819, 1983-010B, February 16 1983, 95, BRIGHTEST
SL-3 R/B, 13403, 1982-079B, August 5 1982, 95.6, BRIGHTEST
SL-3 R/B, 13154, 1982-039B, May 5 1982, 96.1, BRIGHTEST
SL-3 R/B, 13068, 1982-013B, February 19 1982, 95.5, BRIGHTEST
SL-3 R/B, 12904, 1981-103B, October 13 1981, 95.6, BRIGHTEST
METEOR PRIRODA, 12585, 1981-065A, July 10 1981, 94.7, BRIGHTEST
SL-3 R/B, 12465, 1981-046B, May 19 1981, 95.1, BRIGHTEST
SL-8 R/B, 12139, 1981-003B, January 16 1981, 98.9, BRIGHTEST
SL-14 R/B, 11672, 1980-005B, January 23 1980, 96.8, BRIGHTEST
SL-8 R/B, 11574, 1979-089B, October 11 1979, 100, BRIGHTEST
SL-14 R/B, 11267, 1979-011B, February 12 1979, 96.7, BRIGHTEST
SEASAT 1, 10967, 1978-064A, June 27 1978, 99.7, BRIGHTEST
SL-3 R/B, 10114, 1977-057B, June 29 1977, 94.9, BRIGHTEST
SL-8 R/B, 8459, 1975-112B, November 28 1975, 100.2, BRIGHTEST
SL-8 R/B, 7004, 1973-107B, December 26 1973, 92.7, BRIGHTEST
ATLAS CENTAUR R/B, 6155, 1972-065B, August 21 1972, 97.9, BRIGHTEST
OAO 3 (COPERNICUS), 6153, 1972-065A, August 21 1972, 98.8, BRIGHTEST
COSMOS 482 DESCENT CRAFT, 6073, 1972-023E, March 31 1972, 111.7, BRIGHTEST
SL-8 R/B, 5730, 1971-119B, December 27 1971, 102.6, BRIGHTEST
ASTEX 1, 5560, 1971-089A, October 17 1971, 99.4, BRIGHTEST
SL-3 R/B, 5118, 1971-028B, April 7 1971, 95.1, BRIGHTEST
SL-3 R/B, 4814, 1970-113B, December 18 1970, 93.8, BRIGHTEST
SERT 2, 4327, 1970-009A, February 4 1970, 106, BRIGHTEST
ISIS 1, 3669, 1969-009A, January 30 1969, 127.5, BRIGHTEST
